oq,rvnm,stcd,stnm,tm,wptn,z
18900,长江干流,60106980,三峡水库,1786269600000,4,157.860
19000,长江干流,60106980,三峡水库,1786273200000,4,157.790
17800,长江干流,60106980,三峡水库,1786280400000,5,157.790
15000,长江干流,60106980,三峡水库,1786284000000,5,157.860
12600,长江干流,60106980,三峡水库,1786287600000,5,157.960
12500,长江干流,60106980,三峡水库,1786291200000,5,158.050
12500,长江干流,60106980,三峡水库,1786294800000,5,158.110
12500,长江干流,60106980,三峡水库,1786298400000,5,158.130
12500,长江干流,60106980,三峡水库,1786302000000,5,158.160
12500,长江干流,60106980,三峡水库,1786305600000,5,158.190
12500,长江干流,60106980,三峡水库,1786309200000,5,158.220
12400,长江干流,60106980,三峡水库,1786312800000,5,158.240
12500,长江干流,60106980,三峡水库,1786316400000,5,158.250
12400,长江干流,60106980,三峡水库,1786320000000,5,158.270
12400,长江干流,60106980,三峡水库,1786327200000,5,158.300
12300,长江干流,60106980,三峡水库,1786334400000,5,158.330
12200,长江干流,60106980,三峡水库,1786341600000,5,158.380
14400,长江干流,60106980,三峡水库,1786348800000,4,158.370
17400,长江干流,60106980,三峡水库,1786352400000,4,158.280
18900,长江干流,60106980,三峡水库,1786359600000,4,158.130
19000,长江干流,60106980,三峡水库,1786363200000,4,158.100
17700,长江干流,60106980,三峡水库,1786366800000,5,158.130
12500,长江干流,60106980,三峡水库,1786374000000,5,158.300
12500,长江干流,60106980,三峡水库,1786377600000,5,158.360
12400,长江干流,60106980,三峡水库,1786381200000,5,158.410
12400,长江干流,60106980,三峡水库,1786388400000,5,158.450
12400,长江干流,60106980,三峡水库,1786392000000,5,158.460
12400,长江干流,60106980,三峡水库,1786395600000,5,158.470
13100,长江干流,60106980,三峡水库,1786399200000,4,158.460
15900,长江干流,60106980,三峡水库,1786402800000,4,158.370
13200,长江干流,60106980,三峡水库,1786413600000,5,158.330
12400,长江干流,60106980,三峡水库,1786417200000,5,158.390
12400,长江干流,60106980,三峡水库,1786424400000,4,158.440
12300,长江干流,60106980,三峡水库,1786428000000,6,158.440
12300,长江干流,60106980,三峡水库,1786431600000,5,158.480
14600,长江干流,60106980,三峡水库,1786435200000,4,158.420
17400,长江干流,60106980,三峡水库,1786438800000,4,158.310
19000,长江干流,60106980,三峡水库,1786442400000,4,158.180
19100,长江干流,60106980,三峡水库,1786446000000,4,158.080
17900,长江干流,60106980,三峡水库,1786453200000,6,158.030
15000,长江干流,60106980,三峡水库,1786456800000,5,158.100
12500,长江干流,60106980,三峡水库,1786460400000,5,158.210
12500,长江干流,60106980,三峡水库,1786464000000,5,158.270
14600,长江干流,60106980,三峡水库,1786467600000,4,158.230
14600,长江干流,60106980,三峡水库,1786471200000,5,158.250
14600,长江干流,60106980,三峡水库,1786474800000,4,158.220
14600,长江干流,60106980,三峡水库,1786478400000,5,158.230
14700,长江干流,60106980,三峡水库,1786482000000,5,158.250
15400,长江干流,60106980,三峡水库,1786485600000,4,158.200
18300,长江干流,60106980,三峡水库,1786489200000,4,158.100
19100,长江干流,60106980,三峡水库,1786492800000,4,158.010
14100,长江干流,60106980,三峡水库,1786500000000,5,158.090
13200,长江干流,60106980,三峡水库,1786507200000,5,158.220
13200,长江干流,60106980,三峡水库,1786514400000,6,158.210
13900,长江干流,60106980,三峡水库,1786518000000,6,158.210
19700,长江干流,60106980,三峡水库,1786525200000,4,157.980
21400,长江干流,60106980,三峡水库,1786528800000,4,157.820
21500,长江干流,60106980,三峡水库,1786532400000,4,157.710
21500,长江干流,60106980,三峡水库,1786536000000,4,157.640
21600,长江干流,60106980,三峡水库,1786539600000,4,157.570
16400,长江干流,60106980,三峡水库,1786546800000,5,157.670
14800,长江干流,60106980,三峡水库,1786550400000,5,157.750
14800,长江干流,60106980,三峡水库,1786554000000,5,157.800
14800,长江干流,60106980,三峡水库,1786561200000,6,157.830
14800,长江干流,60106980,三峡水库,1786564800000,5,157.840
14800,长江干流,60106980,三峡水库,1786568400000,6,157.840
15400,长江干流,60106980,三峡水库,1786572000000,4,157.810
18300,长江干流,60106980,三峡水库,1786575600000,4,157.700
19300,长江干流,60106980,三峡水库,1786579200000,4,157.600
14200,长江干流,60106980,三峡水库,1786586400000,5,157.650
13300,长江干流,60106980,三峡水库,1786593600000,5,157.770
13300,长江干流,60106980,三峡水库,1786600800000,6,157.790
14200,长江干流,60106980,三峡水库,1786604400000,5,157.800
19800,长江干流,60106980,三峡水库,1786611600000,4,157.560
21600,长江干流,60106980,三峡水库,1786615200000,4,157.390
21700,长江干流,60106980,三峡水库,1786618800000,4,157.280
21700,长江干流,60106980,三峡水库,1786622400000,4,157.200
21700,长江干流,60106980,三峡水库,1786626000000,4,157.140
16500,长江干流,60106980,三峡水库,1786633200000,5,157.210
14900,长江干流,60106980,三峡水库,1786636800000,5,157.300
14100,长江干流,60106980,三峡水库,1786640400000,5,157.370
14100,长江干流,60106980,三峡水库,1786647600000,5,157.430
14100,长江干流,60106980,三峡水库,1786651200000,6,157.430
14100,长江干流,60106980,三峡水库,1786654800000,4,157.420
14600,长江干流,60106980,三峡水库,1786658400000,4,157.410
17700,长江干流,60106980,三峡水库,1786662000000,4,157.280
18500,长江干流,60106980,三峡水库,1786665600000,4,157.200
